# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[ -16. -122.  -32.];[ -15.92125224 -122.33665843  -31.82632959];[0 0 0];[-12.95 -137.02 -20.65]
[  -8. -122.  -32.];[  -7.96180373 -122.34264875  -31.82733336];[0 0 0];[-6.75 -137.15 -20.91]
[  -8. -122.  -24.];[  -7.96271284 -122.34933711  -23.88056911];[0 0 0];[-6.47 -136.82 -14.28]
[  -8. -122.  -16.];[  -7.96359029 -122.35036373  -15.92536368];[0 0 0];[-6.74 -136.81 -7.63]
[  -8. -122.   -8.];[  -7.96452123 -122.34650466   -7.96452122];[0 0 0];[-6.99 -136.84 -1.45]
[  -8. -122.    0.];[-7.96451223e+00 -1.22348211e+02  8.15842234e-10];[0 0 0];[-7.03 -136.57 5.25]
[  -8. -122.    8.];[  -7.96452122 -122.3465047     7.96452122];[0 0 0];[-6.95 -136.01 12.25]
[  -8. -122.   16.];[  -7.9635903  -122.35036376   15.92536366];[0 0 0];[-6.87 -135.11 19.28]
[  -8. -122.   24.];[  -7.96271285 -122.34933708   23.8805691 ];[0 0 0];[-6.92 -134.43 26.14]
[  -8. -122.   32.];[  -7.96180374 -122.34264875   31.82733336];[0 0 0];[-7.05 -133.59 32.89]
[   0. -122.   32.];[-3.39508609e-10 -1.22344596e+02  3.18276500e+01];[0 0 0];[-1.41 -133.62 33.12]
[   0. -122.   24.];[-4.38642107e-10 -1.22351121e+02  2.38806849e+01];[0 0 0];[-0.91 -134.17 27.33]
[   0. -122.   16.];[-4.16714462e-09 -1.22352077e+02  1.59253851e+01];[0 0 0];[-0.64 -134.94 20.37]
[   0. -122.    8.];[-8.38800993e-09 -1.22348212e+02  7.96451222e+00];[0 0 0];[-0.52 -135.62 13.54]
[   0. -122.    0.];[-5.98120546e-09 -1.22339818e+02  7.09161079e-09];[0 0 0];[-0.26 -136.18 6.52]
